,category_code,status,country_code,state_code,region,city,funded_year,raised_amount_usd
64123,42,0,18,3,377,909,2012.0," 1,000,000 "
64124,42,0,18,3,377,909,2012.0," 1,000,000 "
64125,42,0,18,3,377,909,2012.0," 1,000,000 "
64126,42,0,18,3,377,909,2012.0," 1,000,000 "
64127,42,0,18,3,377,909,2012.0," 1,000,000 "
64128,42,0,18,3,377,909,2012.0," 1,000,000 "
64129,42,0,18,3,377,909,2012.0," 1,000,000 "
64130,42,0,18,3,377,909,2012.0," 1,000,000 "
64133,38,0,18,3,377,909,2013.0," 95,000 "
64134,38,0,18,3,377,909,2013.0," 70,000 "
64135,38,0,18,3,377,909,2012.0," 45,000 "
64136,38,0,18,3,377,909,2013.0," 95,000 "
64137,38,0,18,3,377,909,2013.0," 130,000 "
64138,38,0,18,3,377,909,2013.0," 130,000 "
64139,38,0,18,3,377,909,2013.0," 130,000 "
64142,10,0,18,33,298,691,2013.0," 5,600,000 "
64143,10,0,18,33,298,691,2013.0," 5,600,000 "
64144,10,0,18,33,298,691,2013.0," 5,600,000 "
64145,10,0,18,33,298,691,2013.0," 5,600,000 "
64146,10,0,18,33,298,691,2013.0," 5,600,000 "
64147,10,0,18,33,298,691,2013.0," 5,600,000 "
64148,10,0,18,33,298,691,2013.0," 20,000,000 "
64149,10,0,18,33,298,691,2010.0," 500,000 "
64150,10,0,18,33,298,691,2010.0," 500,000 "
64151,10,0,18,33,298,691,2010.0," 500,000 "
64152,38,0,18,42,105,243,2005.0," 9,000,000 "
64153,20,0,18,18,52,1133,2011.0," 500,000 "
64154,10,0,18,3,377,883,2014.0," 8,000,000 "
64155,10,0,18,3,377,883,2014.0," 8,000,000 "
64156,10,0,18,3,377,883,2012.0," 1,500,000 "
64157,35,0,18,9,15,47,2009.0," 8,500,000 "
64158,35,0,18,9,15,47,2011.0," 10,000,000 "
64159,15,0,18,3,386,907,2014.0," 7,500,000 "
64160,15,0,18,3,386,907,2012.0," 4,250,000 "
64161,35,0,18,18,52,1169,2005.0," 2,750,000 "
64162,9,0,18,18,52,250,2006.0," 10,000,000 "
64164,36,0,18,3,377,656,2007.0," 3,000,000 "
64165,36,0,18,3,377,656,2007.0," 3,000,000 "
64166,36,0,18,3,377,656,2007.0," 2,000,000 "
64167,36,0,18,3,377,656,2007.0," 3,000,000 "
64169,38,0,18,3,377,656,2008.0," 250,000 "
64171,42,0,18,3,377,909,2008.0," 700,000 "
64172,42,0,18,3,377,909,2010.0," 2,300,000 "
64173,42,0,18,3,377,909,2010.0," 2,300,000 "
64174,42,0,18,3,377,909,2010.0," 2,300,000 "
64175,38,0,18,3,377,656,2013.0," 10,000,000 "
64176,38,0,18,3,377,656,2013.0," 10,000,000 "
64177,38,0,18,3,377,656,2013.0," 10,000,000 "
64183,3,0,18,26,357,270,2012.0," 51,000,000 "
64184,3,0,18,26,357,270,2009.0," 40,000,000 "
64185,3,0,18,26,357,270,2007.0," 23,000,000 "
64186,3,0,18,26,357,270,2012.0," 51,000,000 "
64187,3,0,18,26,357,270,2009.0," 40,000,000 "
64188,3,0,18,26,357,270,2007.0," 23,000,000 "
64189,3,0,18,26,357,270,2012.0," 51,000,000 "
64190,3,0,18,26,357,270,2009.0," 40,000,000 "
64191,3,0,18,26,357,270,2012.0," 51,000,000 "
64192,3,0,18,26,357,270,2009.0," 40,000,000 "
64193,3,0,18,26,357,270,2007.0," 23,000,000 "
64194,3,0,18,26,357,270,2012.0," 51,000,000 "
64195,3,0,18,26,357,270,2012.0," 51,000,000 "
64196,3,0,18,26,357,270,2012.0," 51,000,000 "
64197,3,0,18,26,357,270,2009.0," 40,000,000 "
64198,3,0,18,26,357,270,2012.0," 51,000,000 "
64203,28,0,18,33,298,691,2012.0," 40,000 "
64205,42,0,18,8,327,1115,2010.0," 7,000,000 "
64216,20,0,18,3,386,907,2007.0," 1,000,000 "
64217,20,0,18,2,338,946,2011.0," 5,300,000 "
64218,20,0,18,2,338,946,2011.0," 5,300,000 "
64219,20,0,18,2,338,946,2011.0," 5,300,000 "
64220,38,0,18,19,464,336,2008.0," 8,250,000 "
64221,38,0,18,19,464,336,2008.0," 8,250,000 "
64222,38,0,18,19,464,336,2006.0," 3,600,000 "
64223,38,0,18,19,464,336,2012.0," 2,500,000 "
64255,9,0,18,2,338,1205,2013.0," 250,000 "
64256,9,0,18,2,338,1205,2013.0," 250,000 "
64257,20,0,18,8,154,350,2012.0," 4,100,000 "
64260,38,0,18,41,290,139,2013.0," 1,100,000 "
64263,20,0,18,19,23,72,2013.0," 100,000 "
64266,1,0,18,26,357,270,2014.0," 35,000,000 "
64267,22,0,18,19,23,72,2012.0," 20,000 "
64268,22,0,18,19,23,72,2012.0," 20,000 "
64277,38,0,18,3,377,909,2010.0," 10,000,000 "
64278,38,0,18,3,377,909,2010.0," 10,000,000 "
64279,9,0,18,3,377,768,2014.0," 40,000,000 "
64280,9,0,18,3,377,768,2013.0," 9,000,000 "
64281,9,0,18,3,377,768,2013.0," 20,000,000 "
64282,9,0,18,3,377,768,2013.0," 20,000,000 "
64283,9,0,18,3,377,768,2014.0," 40,000,000 "
64284,9,0,18,3,377,768,2013.0," 20,000,000 "
64285,9,0,18,3,377,768,2014.0," 40,000,000 "
64286,9,0,18,3,377,768,2013.0," 9,000,000 "
64287,9,0,18,3,377,768,2014.0," 40,000,000 "
64288,9,0,18,3,377,768,2013.0," 9,000,000 "
64290,9,0,18,3,377,768,2013.0," 9,000,000 "
64292,1,0,18,30,184,426,2013.0," 25,000 "
64293,28,0,18,33,298,691,2013.0," 30,000,000 "
64294,28,0,18,33,298,691,2013.0," 30,000,000 "
64295,28,0,18,33,298,691,2010.0," 60,000,000 "
64296,28,0,18,33,298,691,2013.0," 30,000,000 "
64297,28,0,18,33,298,691,2013.0," 30,000,000 "
64298,28,0,18,33,298,691,2013.0," 30,000,000 "
64299,28,0,18,33,298,691,2010.0," 60,000,000 "
64300,28,0,18,33,298,691,2013.0," 30,000,000 "
64301,28,0,18,33,298,691,2013.0," 30,000,000 "
64302,28,0,18,33,298,691,2013.0," 30,000,000 "
64303,28,0,18,33,298,691,2010.0," 60,000,000 "
64304,28,0,18,33,298,691,2013.0," 30,000,000 "
64305,28,0,18,33,298,691,2013.0," 30,000,000 "
64306,28,0,18,33,298,691,2010.0," 60,000,000 "
64307,28,0,18,33,298,691,2013.0," 30,000,000 "
64308,28,0,18,33,298,691,2010.0," 60,000,000 "
64309,28,0,18,33,298,691,2010.0," 60,000,000 "
64310,28,0,18,33,298,691,2010.0," 60,000,000 "
64313,38,1,18,26,357,833,2005.0," 1,000,000 "
64319,7,0,18,44,80,193,2013.0," 8,250,000 "
64320,7,0,18,44,80,193,2013.0," 8,250,000 "
64321,7,0,18,44,80,193,2013.0," 8,250,000 "
64322,21,0,18,37,337,832,2011.0," 6,000,000 "
64323,21,0,18,37,337,832,2011.0," 6,000,000 "
64325,42,0,18,3,377,909,2010.0," 50,000 "
64326,42,0,18,3,377,909,2010.0," 4,500,000 "
64327,42,0,18,3,377,909,2011.0," 10,000,000 "
64329,42,0,18,3,377,909,2011.0," 3,000,000 "
64330,42,0,18,3,377,909,2010.0," 4,500,000 "
64331,42,0,18,3,377,909,2011.0," 10,000,000 "
64332,42,0,18,3,377,909,2011.0," 10,000,000 "
64334,42,0,18,3,377,909,2009.0," 600,000 "
